Club,Location,Stadium,Capacity,Lat,Long
América,Mexico City,Azteca,"87,000",19.303056,-99.150556
Atlas,Guadalajara,Jalisco,"56,713",20.70502778,-103.32805556
Atlético San Luis,San Luis Potosí City,Alfonso Lastras,"25,111",22.1386794035987,-100.95058885
Juárez,Ciudad Juárez,Olímpico Benito Juárez,"19,703",31.75305,-106.46781388889
Cruz Azul,Mexico City,Azteca,"87,000",19.303056,-99.150556
Guadalajara,Zapopan,Akron,"45,364",20.681667,-103.462778
León,León,León,"31,297",21.115601,-101.657633
Monterrey,Guadalupe,BBVA,"53,500",25.669167,-100.244444
Mazatlán,Mazatlán,Mazatlán,"25,000",23.276389,-106.381111
Necaxa,Aguascalientes City,Victoria,"25,500",21.880653,-102.275483
Pachuca,Pachuca,Hidalgo,"30,000",20.105144,-98.756114
Puebla,Puebla City,Cuauhtémoc,"51,726",19.078056,-98.164444
Querétaro,Querétaro City,Corregidora,"33,162",20.577778,-100.366389
Santos Laguna,Torreón,Corona,"30,000",25.629145,-103.379417
Tijuana,Tijuana,Caliente,"27,333",32.506067,-116.993092
Toluca,Toluca,Nemesio Díez,"31,000",19.287286,-99.666794
UANL,San Nicolás de los Garza,Universitario,"42,000",25.72257,-100.31197
UNAM,Mexico City,Olímpico Universitario,"72,000",19.331928,-99.192106